阿党比周	a'dang'bi'zhou	相互勾结，相互偏袒，结党营私。
倡情冶思	chang'qing'ye'si	冶荡轻佻的情思。
倡条冶叶	chang'tiao'ye'ye	①指杨柳婀娜多姿的枝叶。后亦泛称美丽多姿的花草树木。②借喻歌伎、妓女。
唱筹量沙	chang'chou'liang'sha	《南史·檀道济传》：“道济时与魏军三十馀战多捷，军至历城，以资运竭乃还。时人降魏者具说粮食已罄，於是士卒忧惧，莫有固志。道济夜唱筹量沙，以所馀少米散其上。及旦魏军谓资粮有馀，故不复追。”后以“唱筹量沙”为安定军心，迷惑敌人之典。
唱沙作米	chang'sha'zuo'mi	比喻以假乱真或以劣为优。
暢叫扬疾	chang'jiao'yang'ji	谓大吵大闹。“暢叫”即“唱叫”，吵闹之意。“扬疾”犹嚷唧，亦吵闹之意。
暢所欲为	chang'suo'yu'wei	痛痛快快地做想做的事。
暢所欲言	chang'suo'yu'yan	痛痛快快地说出想说的话。
超超玄箸	chao'chao'xuan'zhu	谓言辞高妙，不同凡俗。
超尘拔俗	chao'chen'ba'su	谓不同于一般世俗之见。
超尘逐电	chao'chen'zhu'dian	腾空而行，追逐电光。形容奔驰之速。
超凡入圣	chao'fan'ru'sheng	①谓脱离凡尘，修道成仙。②谓达到登峰造极、超越凡庸的境界。
超古冠今	chao'gu'guan'jin	见“超今冠古”。
超今冠古	chao'jin'guan'gu	谓古今第一，无与伦比。
超今绝古	chao'jin'jue'gu	同“超今冠古”。
超类绝伦	chao'lei'jue'lun	谓超出寻常，无与伦比。
超伦轶群	chao'lun'yi'qun	又作：超群出众。
超前绝后	chao'qian'jue'hou	又作：空前绝后。
超前轶后	chao'qian'yi'hou	又作：空前绝后。
超群拔萃	chao'qun'ba'cui	又作：出类拔萃。形容超越寻常；杰出。
超群拔类	chao'qun'ba'lei	见“超群拔类”。
超群拔类	chao'qun'ba'lei	同“超群拔萃”。
超群出众	chao'qun'chu'zhong	见“超群出众”。
超群出众	chao'qun'chu'zhong	胜过众人。
超群绝伦	chao'qun'jue'lun	见“超类绝伦”。
超然物外	chao'ran'wu'wai	①超出于尘世之外。②引申为置身事外的意思。
超然象外	chao'ran'xiang'wai	又作：超然物外。
超世绝伦	chao'shi'jue'lun	谓杰出不凡，胜过一般。
超世绝俗	chao'shi'jue'su	超出于世俗之外。
超轶绝尘	chao'yi'jue'chen	①谓骏马奔驰，出群超众，不着尘埃。②比喻出类拔萃，不同凡俗。
超逸绝尘	chao'yi'jue'chen	同“超轶绝尘”。
巢焚原燎	chao'fen'yuan'liao	极言战祸惨烈。
巢林一枝	chao'lin'yi'zhi	语本《庄子·逍遥游》：“鹪鷯巢於深林，不过一枝。”谓鹪鹩筑巢，只不过占用一根树枝。后以“巢林一枝”比喻安本分，不贪多。
巢倾卵覆	chao'qing'luan'fu	见“巢倾卵破”。
巢倾卵破	chao'qing'luan'po	《后汉书·孔融传》载：孔融被曹操逮捕时，有女七岁，子九岁，两人正在下棋，安坐不动。左右问父被捕为何不起，答曰：“安有巢毁而卵不破乎！”意谓父被害，自己也不得幸免。后因以“巢倾卵破”比喻灭门之祸，无一得免。亦以喻整体被毁，其中的个别也不可能幸存。
朝不保暮	zhao'bu'bao'mu	早晨保不住晚上会发生变化。极言情况危急或境遇窘迫。
朝不保夕	zhao'bu'bao'xi	见“朝不保暮”。
朝不及夕	zhao'bu'ji'xi	①谓早晨不能顾及晚上。极言处境危急。②形容生活极其穷困。
朝不虑夕	zhao'bu'lv'xi	见“朝不谋夕”。
朝不谋夕	zhao'bu'mou'xi	谓早晨不能预为晚上打算。形容形势危急或境况窘迫。
朝趁暮食	zhao'chen'mu'shi	白天挣了钱，晚上才有饭吃。形容生活十分贫困。
朝成暮徧	zhao'cheng'mu'bian	早晨刚写成，晚上就到处流传。形容文章流传迅速。
朝成暮毁	zhao'cheng'mu'hui	形容翻新之速。
朝成夕毁	zhao'cheng'xi'hui	见“朝成暮毁”。
朝发暮至	zhao'fa'mu'zhi	谓早晨出发晚上就到达。形容路程很近或交通方便。语出《后汉书·乌桓传》：“居止近塞，朝发穹庐，暮至城郭，五郡民庶，家受其辜。”
朝发夕至	zhao'fa'xi'zhi	见“朝发暮至”。
朝歌暮弦	zhao'ge'mu'xian	见“朝歌夜弦”。
朝歌夜弦	zhao'ge'ye'xian	形容整天沉迷于歌舞，逸乐无度。
朝过夕改	zhao'guo'xi'gai	早晨闻过，晚上即改正。形容改正错误之迅速。
朝欢暮乐	zhao'huan'mu'le	谓终日欢乐；日夜寻欢作乐。
朝懽暮乐	zhao'huan'mu'le	见“朝欢暮乐”。
朝齑暮盐	zhao'ji'mu'yan	见“朝齑暮盐”。
朝齑暮盐	zhao'ji'mu'yan	早饭腌菜进食，晚餐蘸盐下饭。极言生活贫苦。
朝梁暮陈	zhao'liang'mu'chen	见“朝梁暮晋”。
朝梁暮晋	zhao'liang'mu'jin	五代冯道为相，历五朝八姓，于丧君亡国略不在意。自号长乐老，著《长乐老自叙》，历陈官爵以为荣，时论卑之。元刘因有《冯道》诗讽之曰：“亡国降臣固位难，痴顽老子几朝官。朝梁暮晋浑閒事，更舍残骸与契丹。”后因以“朝梁暮晋”喻人反复无常，没有节操。
朝梁暮周	zhao'liang'mu'zhou	见“朝梁暮晋”。
朝令暮改	zhao'ling'mu'gai	《汉书·食货志上》：“急政暴赋，赋敛不时，朝令而暮改。”王念孙《读书杂志·汉书四》：“‘朝令而暮改’，改，本作得，言急征暴赋，朝出令而暮已得。非谓其朝令而暮改也。”后以“朝令暮改”形容政令多变。
朝令夕改	zhao'ling'xi'gai	早晨下命令，晚上就改变。形容政令多变。
朝攀暮折	zhao'pan'mu'zhe	谓不断地攀折。比喻时时遭摧残。
朝乾夕愓	zhao'qian'xi'dang	谓终日勤奋谨慎，不敢懈怠。语本《易·乾》：“君子终日乾乾，夕惕若厉，无咎。”
朝秦暮楚	zhao'qin'mu'chu	①战国时，秦楚两大国对立，其他小国各视利益之所在，时而事秦，时而奉楚，变化无常。游说之士亦如此。后以喻人反复无常。②朝在秦地，暮在楚地。或朝属秦国，暮属楚国。比喻行踪无定或生活不安定。
朝三暮二	zhao'san'mu'er	比喻主意多变。
朝三暮四	zhao'san'mu'si	①《庄子·齐物论》：“狙公赋芧，曰：‘朝三而暮四。’众狙皆怒。曰：‘然则朝四而暮三。’众狙皆悦。”本谓只变名目，不变实质以欺人。后以喻变化多端或反覆无常。②形容数目多。
朝升暮合	zhao'sheng'mu'he	谓零碎地籴米。形容生活艰难，勉强度日。
朝生暮死	zhao'sheng'mu'si	亦作“朝生夕死”。①早晨刚生，晚上就死亡。②今亦形容事物生命短暂。
朝生夕死	zhao'sheng'xi'si	见“朝生暮死”。
朝思暮想	zhao'si'mu'xiang	日夜思念。
朝闻夕改	zhao'wen'xi'gai	见“朝过夕改”。
朝闻夕死	zhao'wen'xi'si	早晨闻道，晚上可死去。形容对真理或某种信仰追求的迫切。语本《论语·里仁》：“朝闻道，夕死可矣。”
朝夕相处	zhao'xi'xiang'chu	彼此天天在一起。
朝阳鸣凤	zhao'yang'ming'feng	比喻品德出众、正直敢谏之人。语出《诗·大雅·卷阿》：“凤凰鸣矣，于彼高冈，梧桐生矣，于彼朝阳。”
朝衣东市	zhao'yi'dong'shi	谓大臣就戮。典出《史记·袁盎晁错列传》：“上令晁错衣朝衣斩东市。”
朝夷暮跖	zhao'yi'mu'zhi	早晨被誉为伯夷，晚上被贬作盗跖。形容时论毁誉多变。
朝饔夕飧	zhao'yong'xi'sun	谓才疏力薄，除吃饭外别无所能。
朝云暮雨	zhao'yun'mu'yu	比喻男女欢会。典出战国楚宋玉《〈高唐赋〉序》：楚襄王与宋玉游云梦之台，望高唐之观。其上有云气变化无穷。玉谓此气为朝云，并对王说，过去先王曾游高唐，怠而昼寝，梦见一妇人，自称是巫山之女，愿侍王枕席，王因幸之。巫山之女临去时说：“妾在巫山之阳，高丘之阻，旦为朝云，暮为行雨，朝朝暮暮，阳台之下。”
朝章国典	zhao'zhang'guo'dian	见“朝章国故”。
朝章国故	zhao'zhang'guo'gu	朝廷与国家的典章制度。
朝折暮折	zhao'zhe'mu'zhe	见“朝攀暮折”。
朝钟暮鼓	zhao'zhong'mu'gu	亦作“朝锺暮鼓”。佛寺晨撞钟，暮击鼓以报时。
朝钟暮鼓	zhao'zhong'mu'gu	见“朝钟暮鼓”。
朝锺暮鼓	zhao'zhong'mu'gu	见“朝钟暮鼓”。
朝种暮穫	zhao'zhong'mu'huo	①比喻收益迅速。②比喻时间短促。
朝奏暮召	zhao'zou'mu'zhao	谓早晨上书帝王，晚上就被召见。形容被朝廷任用之速。语出《史记·平津侯主父列传》：“扞主父偃呴资用乏，留久，诸公宾客多厌之，乃上书阙下。朝奏，暮召入见。所言九事，其八事为律令，一事谏伐匈奴。”
朝奏夕召	zhao'zou'xi'zhao	见“朝奏暮召”。
鼌不及夕	chao'bu'ji'xi	早晨不能顾及晚上。形容处境危急。出处《汉书·严助传》:“边境之民为之早闭晏开,鼌不及夕。”颜师古注:“鼌,古朝字也。言忧危亡不自保也。”
嘲风弄月	chao'feng'nong'yue	吟咏清风，玩赏月色。泛指写诗抒情。
嘲风咏月	chao'feng'yong'yue	①唐白居易《与元九书》：“至于梁陈间，率不过嘲风雪弄花草而已。”后因以“嘲风咏月”指描写风云月露等景物而思想内容贫乏的作品。②泛指吟诗作赋。
潮鸣电掣	chao'ming'dian'che	极言气势大、速度炔。
炒买炒卖	chao'mai'chao'mai	指就地迅速转手买卖，从中牟利。
车尘马足	che'chen'ma'zu	①谓车马奔波。亦喻人世俗事。②指代车骑。敬称对方时亦用之。
车驰马骤	che'chi'ma'zhou	形容车马奔驰迅猛。
车怠马烦	che'dai'ma'fan	见“车殆马烦”。
车殆马烦	che'dai'ma'fan	车危且马疲。形容旅途困乏。
车烦马毙	che'fan'ma'bi	形容旅途劳顿困乏。
车轨共文	che'gui'gong'wen	车同轨，书同文。指统一。
车击舟连	che'ji'zhou'lian	车相撞，船相连。极言车船之多。
车量斗数	che'liang'dou'shu	形容巨量。
车马如龙	che'ma'ru'long	谓车马众多，繁华热闹。
车马填门	che'ma'tian'men	见“车马盈门”。
车马盈门	che'ma'ying'men	车马充满门庭。形容宾客众多。
车水马龙	che'shui'ma'long	《后汉书·皇后纪上·明德马皇后》“前过濯龙门上，见外家问起居者，车如流水，马如游龙。”后以“车水马龙”形容车马往来不绝，繁华热闹的景象。
车填马隘	che'tian'ma'ai	谓车马填塞门庭道路。形容宾客众多。
车载船装	che'zai'chuan'zhuang	形容数量很多。
车载斗量	che'zai'dou'liang	形容数量很多。多用以表示不足为奇。
车辙马迹	che'zhe'ma'ji	见“车辙马迹”。
车辙马迹	che'zhe'ma'ji	车马行过的痕迹。
扯篷拉纤	che'peng'la'xian	比喻从事不正当的介绍撮合以从中取利。
扯旗放砲	che'qi'fang'pao	比喻公开张扬。
扯顺风旗	che'shun'feng'qi	比喻顺势迎合，奉承别人。
扯纤拉烟	che'xian'la'yan	犹扯篷拉纤。
撦鼓夺旗	che'gu'duo'qi	形容作战勇敢。
彻里彻外	che'li'che'wai	①从里到外。②又作：完完全全。
彻里至外	che'li'zhi'wai	见“彻里彻外”。
彻内彻外	che'nei'che'wai	见“彻里彻外”。
彻上彻下	che'shang'che'xia	贯通上下；通达上下。
彻头彻尾	che'tou'che'wei	①从头到尾；自始至终。②又作：完完全全。
澈底澄清	che'di'cheng'qing	谓完全清楚，毫无遗漏。
瞋目扼腕	chen'mu'e'wan	形容愤怒、勇敢的样子。
瞋目搤腕	chen'mu'e'wan	见“瞋目扼腕”。
瞋目扌戹掔	chen'mu'shou'e'qian		见“瞋目扼腕”。
瞋目竖眉	chen'mu'shu'mei	瞪大眼睛，竖直眉毛。形容非常恼怒的样子。
瞋目张胆	chen'mu'zhang'dan	形容有胆有识，敢作敢为。
尘饭涂羹	chen'fan'tu'geng	以土作饭，以泥作羹。比喻以假当真或无足轻重的事物。
尘羹涂饭	chen'geng'tu'fan	见“尘饭涂羹”。
尘垢粃糠	chen'gou'bi'kang	灰尘和污垢，谷粃和米糠。喻卑微无用之物。
臣门如市	chen'men'ru'shi	语出《汉书·郑崇传》。喻车马盈门，谒见奔走者甚多。
臣心如水	chen'xin'ru'shui	①谓为臣者廉洁奉公，心清如水。②用为清静自如之喻。
陈陈相因	chen'chen'xiang'yin	①谓陈谷逐年增积。②比喻因袭陈旧，缺乏创新。
陈词滥调	chen'ci'lan'diao	亦作“陈辞滥调”。陈旧、空泛的言词。
陈辞滥调	chen'ci'lan'diao	见“陈词滥调”。
陈古刺今	chen'gu'ci'jin	借古讽今。
陈力就列	chen'li'jiu'lie	指在所任职位上能恪尽职守。
陈言肤词	chen'yan'fu'ci	陈旧而肤浅的言词。
陈言老套	chen'yan'lao'tao	陈旧的言词和套数。
晨参暮礼	chen'can'mu'li	早晚参拜。
晨参暮省	chen'can'mu'sheng	按礼节朝暮参拜问安。
晨昏定省	chen'hun'ding'sheng	同“昏定晨省”。旧时指朝夕服侍慰问双亲。
晨兢夕厉	chen'jing'xi'li	谓终日勤勉谨慎。
晨秦暮楚	chen'qin'mu'chu	又作：朝秦暮楚。比喻反复无常。
晨提夕命	chen'ti'xi'ming	又作：朝夕教诲。
晨钟暮鼓	chen'zhong'mu'gu	①语本唐李咸用《山中》诗：“朝钟暮鼓不到耳，明月孤云长挂情”。佛寺中晨撞钟暮击鼓以报时，后因以“晨钟暮鼓”谓时日推移。②比喻令人警悟的话。
闯南走北	chuang'nan'zou'bei	奔走四方。
疢如疾首	chen'ru'ji'shou	烦热得如患有头痛之疾。比喻忧伤到极点。
称柴而爨	cheng'chai'er'cuan	见“称薪而爨”。
称帝称王	cheng'di'cheng'wang	见“称王称霸”。
称功诵德	cheng'gong'song'de	见“称功颂德”。
称功颂德	cheng'gong'song'de	称颂功德。
称孤道寡	cheng'gu'dao'gua	谓以帝王自居。
称斤掂两	cheng'jin'dian'liang	计算重量。谓计较多少、轻重。
称斤约两	cheng'jin'yue'liang	比喻权衡得失。
称名道姓	cheng'ming'dao'xing	称呼姓名。
称奇道绝	cheng'qi'dao'jue	觉得奇怪难得。
称觞举寿	cheng'shang'ju'shou	同“称觞上寿”。
称觞上寿	cheng'shang'shang'shou	举杯饮酒，表示祝寿。
称王称霸	cheng'wang'cheng'ba	谓自封为帝王或以首领自居。亦以喻狂妄自大，专横独断。原作“称帝称王”。三国魏曹操《让县自明本志令》：“设使国家无有孤，不知当几人称帝，几人称王。”宋刘克庄《魏志》诗：“称帝称王非一个，国家不可便无孤。此言只是瞒孀幼，岂有英雄也恁愚？”后多作“称王称霸”。
称王称伯	cheng'wang'cheng'bo	见“称王称霸”。
称物平施	cheng'wu'ping'shi	根据物品的多少，做到施与均衡。
称贤使能	cheng'xian'shi'neng	举用贤能之人。
称心快意	cheng'xin'kuai'yi	满足心意。
称心满意	cheng'xin'man'yi	又作：称心如意。
称心满意	cheng'xin'man'yi	心满意足。
称心满原	cheng'xin'man'yuan	又作：称心如意。
称心如意	cheng'xin'ru'yi	完全合乎心意。
称薪而爨	cheng'xin'er'cuan	称了薪柴才去生火煮饭。比喻斤斤于细节而不识大体。
称兄道弟	cheng'xiong'dao'di	指朋友间以兄弟相称呼。表示关系亲密。
趁波逐浪	chen'bo'zhu'lang	形容奔波；颠沛。
趁风使柁	chen'feng'shi'tuo	比喻随机应变或迎合别人行事。
趁风转帆	chen'feng'zhuan'fan	比喻根据情势的变化而转向，见机行事。
趁风转篷	chen'feng'zhuan'peng	见“趁风转帆”。
趁哄打劫	chen'hong'da'jie	又作：在混乱中劫掠。
趁火打劫	chen'huo'da'jie	趁人家失火的时候去抢劫。比喻趁别人紧张危急的时候去捞取好处或趁机害人。
趁火抢劫	chen'huo'qiang'jie	同“趁火打劫”。
趁夥打劫	chen'huo'da'jie	又作：趁火打劫。
趁浪逐波	chen'lang'zhu'bo	谓随波逐流，从俗浮沉。
趁热打铁	chen're'da'tie	比喻做事抓住有利时机或条件，加速进行。
趁人之危	chen'ren'zhi'wei	趁着别人有困难的时候，加以要挟或陷害。
趁水和泥	chen'shui'he'ni	利用现成的水来搅泥。比喻乘机行事。
趁心如意	chen'xin'ru'yi	称心如意。谓符合心意，满足愿望。趁，通“称”。
撑岸就船	cheng'an'jiu'chuan	比喻颠倒主从，不合情理。
撑肠拄肚	cheng'chang'zhu'du	腹中饱满。比喻容受很多。
撑肠拄腹	cheng'chang'zhu'fu	犹撑肠拄肚。
撑天拄地	cheng'tian'zhu'di	又作：顶天立地。
撑霆裂月	cheng'ting'lie'yue	形容声气惊人。
瞠乎后已	cheng'hu'hou'yi	见“瞠乎后矣”。
瞠乎后矣	cheng'hu'hou'yi	又作：瞠乎其后。
瞠乎其后	cheng'hu'qi'hou	干瞪着眼，落在后面趕不上。语出《庄子·田子方》：“夫子奔逸绝尘，而回瞠若乎后矣！”
瞠目挢舌	cheng'mu'jiao'she	见“瞠目结舌”。
瞠目结舌	cheng'mu'jie'she	瞪着眼睛说不出话来。形容窘迫或惊呆的样子。
瞠目咋舌	cheng'mu'zha'she	见“瞠目结舌”。
瞠然自失	cheng'ran'zi'shi	瞪着眼就像失落什么似的。
成败得失	cheng'bai'de'shi	犹成败利钝。
成败利钝	cheng'bai'li'dun	成功或失败，顺利或挫折。谓事情的结果好坏。
成败论人	cheng'bai'lun'ren	以成功或失败作为评论人物的标准。
成败兴废	cheng'bai'xing'fei	成功或失败，兴起或衰退。
成帮结队	cheng'bang'jie'dui	犹成群结队。
成城断金	cheng'cheng'duan'jin	谓万众一心，力量无比强大。
成风尽垩	cheng'feng'jin'e	同“成风斤”。
成风之斫	cheng'feng'zhi'zhuo	同“成风斤”。
成佛作祖	cheng'fo'zuo'zu	佛教语。谓修成佛道，成为祖师。亦以喻获得杰出成就。
成己成物	cheng'ji'cheng'wu	谓由己及物，自身有所成就，也要使自身以外的一切有所成就。语本《礼记·中庸》：“诚者，非自成己而已也，所以成物也。成己，仁也；成物，知也。性之德也，合内外之道也。”孔颖达疏：“言人有至诚，非但自成就己身而已，又能成就外物。”
成家立计	cheng'jia'li'ji	又作：成家立业。
成家立业	cheng'jia'li'ye	成立家庭，建立家业。
成名成家	cheng'ming'cheng'jia	树立名声，成为专家。
成年古代	cheng'nian'gu'dai	又作：长期以来。
成年累月	cheng'nian'lei'yue	极言时间之长。
成千成万	cheng'qian'cheng'wan	极言数量之多。
成千累万	cheng'qian'lei'wan	见“成千成万”。
成千论万	cheng'qian'lun'wan	又作：成千成万。形容数量极多。
成千上万	cheng'qian'shang'wan	见“成千成万”。
成群打夥	cheng'qun'da'huo	见“成群结夥”。
成群集党	cheng'qun'ji'dang	谓一部分人结成小团体。
成群结党	cheng'qun'jie'dang	见“成群集党”。
成群结队	cheng'qun'jie'dui	众多的人或动物结成一群群、一队队。
成群结夥	cheng'qun'jie'huo	犹成群结队。谓众多的人或动物聚结成一群群、一伙伙。
成群逐队	cheng'qun'zhu'dui	见“成群结队”。
成群作队	cheng'qun'zuo'dui	见“成群结队”。
成人不自在，自在不成人	cheng'ren'bu'zi'zai'-'zi'zai'bu'cheng'ren	自在不成人】	人要有所成就，就不能贪图安逸；贪图安逸，就不能有所成就。
成人之美	cheng'ren'zhi'mei	成全他人为善的美名。
成人之善	cheng'ren'zhi'shan	成全别人为善。
成仁取义	cheng'ren'qu'yi	为正义事业而牺牲。
成日成夜	cheng'ri'cheng'ye	整天整夜，日日夜夜。
成事不说	cheng'shi'bu'shuo	对做过的事不再提它。
成事不足，败事有馀	cheng'shi'bu'zu'-'bai'shi'you'yu	事有馀】	不能把事情办好，只能把事情弄坏。
成双成对	cheng'shuang'cheng'dui	见“成双作对”。
成双作对	cheng'shuang'zuo'dui	配成一对。
成团打塊	cheng'tuan'da'kuai	聚集成群。
成王败寇	cheng'wang'bai'kou	见“成则为王，败则为寇”。
成也萧何，败也萧何	cheng'ye'xiao'he'-'bai'ye'xiao'he	也萧何】	宋洪迈《容斋续笔·萧何绐韩信》：“韩信为人告反，吕后欲召，恐其不就，乃与萧相国谋，诈令人称陈豨已破，绐信曰：‘虽病强入贺。’信入，即被诛。信之为大将军，实萧何所荐，今其死也，又出其谋，故俚语有‘成也萧何，败也萧何’之语。”后以“成也萧何，败也萧何”比喻事情的成败都出于同一个人。
成也萧何败萧何	cheng'ye'xiao'he'bai'xiao'he	何】	见“成也萧何，败也萧何”。
成则为王，败则为寇	cheng'ze'wei'wang'-'bai'ze'wei'kou	则为寇】	旧谓在争夺政权斗争中，成功了的就是合法的，称帝称王；失败了的就是非法的，被称为寇贼。反映了以成败论人的观点。
成则为王，败则为虏	cheng'ze'wei'wang'-'bai'ze'wei'lu	则为虏】	见“成则为王，败则为寇”。
成则为王，败则为贼	cheng'ze'wei'wang'-'bai'ze'wei'zei	则为贼】	见“成则为王，败则为寇”。
成竹在胸	cheng'zhu'zai'xiong	画竹子以前，心中先已有竹子的形象。语本宋苏轼《文与可画筼筜谷偃竹记》：“故画竹，必先得成竹於胸中，执笔熟视，乃见其所欲画者，急起从之，振笔直遂，以追其所见，如兔起鹘落，少纵则逝矣。”后以喻处理事情之前心里早有通盘的考虑和打算。
承前启后	cheng'qian'qi'hou	犹承上起下。
承嬗离合	cheng'shan'li'he	继承演变。
承上起下	cheng'shang'qi'xia	承接前者，引出后者。
承先启后	cheng'xian'qi'hou	犹承上起下。
承星履草	cheng'xing'lv'cao	头戴星光，脚踏草地。形容早出晚归辛勤劳作。
诚惶诚恐	cheng'huang'cheng'kong	①封建时代奏章中的套话。表示惶恐不安。②今泛用以形容小心谨慎以至于害怕不安的样子。
诚心诚意	cheng'xin'cheng'yi	亦作“诚心实意”。①真实的心志。②谓心意真诚。
诚心实意	cheng'xin'shi'yi	见“诚心诚意”。
诚至金开	cheng'zhi'jin'kai	精诚所至，金石为开。
城狐社鼠	cheng'hu'she'shu	城墙洞中的狐狸，社坛里的老鼠。比喻有所凭依而为非作歹的人。语本《晏子春秋·问上九》：“夫社，束木而涂之，鼠因往讬焉，熏之则恐烧其木，灌之则恐败其涂，此鼠所以不可得杀者，以社故也。”
城门失火，殃及池鱼	cheng'men'shi'huo'-'yang'ji'chi'yu	及池鱼】	相传春秋时，宋国池仲鱼所居近城门，一次城门失火，延及其家，仲鱼烧死。一说宋城门失火，因汲水灭火，池水干涸，鱼皆枯死。见《艺文类聚》卷九六及《太平广记》卷四六六引汉应劭《风俗通》。后用以比喻无端受牵连而遭祸害。
城门鱼殃	cheng'men'yu'yang	见“城门失火，殃及池鱼”。
城下之盟	cheng'xia'zhi'meng	①敌人兵临城下时被迫接受的屈辱盟约。②泛指被迫签订的屈辱条约。
城下之辱	cheng'xia'zhi'ru	谓兵临城下屈膝求和的耻辱。
乘车戴笠	cheng'che'dai'li	《初学记》卷十八引晋周处《风土记》：“越俗性率朴，初与人交有礼，封土坛，祭以犬鸡，祝曰：‘卿虽乘车我戴笠，后日相逢下车揖。我步行，卿乘马，后日相逢卿当下。’”乘车，喻富贵；戴笠，喻贫贱。后用以指友谊深厚，不因贫富贵贱而有所改变。
乘肥衣轻	cheng'fei'yi'qing	坐着骏马驾的车子，穿着轻暖的皮袍。比喻豪华的生活。
乘风破浪	cheng'feng'po'lang	①顺着风，破浪前进。②比喻人的志向远大，气魄雄伟，奋勇前进。
乘风兴浪	cheng'feng'xing'lang	谓趁机挑起事端。
乘风转舵	cheng'feng'zhuan'duo	谓顺随情势改变态度。
乘高决水	cheng'gao'jue'shui	凭借地势居高临下，决口放水。比喻费力小，收效大。
乘机打劫	cheng'ji'da'jie	谓利用机会掠夺钱财。
乘坚策肥	cheng'jian'ce'fei	乘好车，驱良马。形容生活奢华。
乘坚驱良	cheng'jian'qu'liang	见“乘坚策肥”。
乘间抵隙	cheng'jian'di'xi	趁机钻空子。
乘间伺隙	cheng'jian'si'xi	同“乘间抵隙”。
乘利席胜	cheng'li'xi'sheng	凭借着胜利的形势。
乘龙佳婿	cheng'long'jia'xu	比喻好女婿。
乘龙快婿	cheng'long'kuai'xu	同“乘龙佳婿”。
乘龙配凤	cheng'long'pei'feng	比喻得佳偶，结良缘。
乘鸾跨凤	cheng'luan'kua'feng	比喻结成美好的姻缘。
乘轻驱肥	cheng'qing'qu'fei	同“乘坚策肥”。
乘热打铁	cheng're'da'tie	比喻做事抓紧时机，加速进行。
乘人之危	cheng'ren'zhi'wei	趁着别人有困难的时候，加以要挟或陷害。
乘势使气	cheng'shi'shi'qi	仗势逞性子。
乘顺水船	cheng'shun'shui'chuan	比喻顺势行事。
乘隙捣虚	cheng'xi'dao'xu	趁空子，攻虚弱。
乘隙而入	cheng'xi'er'ru	同“乘虚而入”。
乘险抵巇	cheng'xian'di'xi	冒险钻空子。
乘虚蹈隙	cheng'xu'dao'xi	又作：切中窾窍。比喻叩击中节。
乘虚而入	cheng'xu'er'ru	趁其空虚而侵入。
乘舆播越	cheng'yu'bo'yue	谓天子流亡在外。
乘云行泥	cheng'yun'xing'ni	比喻地位高下悬殊。
惩恶劝善	cheng'e'quan'shan	惩罚邪恶，劝勉向善。语本《左传·成公十四年》：“《春秋》之称微而显，志而晦……惩恶而劝善。非圣人谁能修之？”
惩忿窒欲	cheng'fen'zhi'yu	谓克制愤怒，杜塞情欲。
惩忿窒欲	cheng'fen'zhi'yu	见“惩忿窒欲”。
惩羹吹齑	cheng'geng'chui'ji	人被滚汤烫过，以后吃冷菜也要吹一下。羹，滚汤；齑，细切的肉菜，冷食品。比喻戒惧过甚。语出《楚辞·九章·惜诵》：“惩於羹者而吹齑兮，何不变此志也？”
惩前毖后	cheng'qian'bi'hou	谓从以前的错误或失败中吸取教训，使以后不至重犯。语本《诗·周颂·小毖》：“予其惩而毖后患。”
惩一戒百	cheng'yi'jie'bai	见“惩一警百”。
惩一儆百	cheng'yi'jing'bai	见“惩一警百”。
惩一警百	cheng'yi'jing'bai	谓惩罚一人以警戒众人。语本《汉书·尹翁归传》：“翁归治东海明察……其有所取也，以一警百，吏民皆服，恐惧改行自新。”
程门度雪	cheng'men'du'xue	见“程门立雪”。
程门飞雪	cheng'men'fei'xue	见“程门立雪”。
程门立雪	cheng'men'li'xue	《宋史·道学传二·杨时》：“扞时呴一日见颐，颐偶瞑坐，时与游酢侍立不去。颐既觉，则门外雪深一尺矣。”事亦见《二程语录》卷十七引侯仲良《侯子雅言》。后因以“程门立雪”为尊师重道的典故。
程式动作	cheng'shi'dong'zuo	戏剧术语。指经过艺术夸张、提炼加工而定型的规范化、格式化的表演动作。如中国传统戏曲中人物出场时整冠理髯，哀痛时扬袖，以及大将出征前“起霸”，策马奔驰时“趟马”等。
程硃理学	cheng'zhu'li'xue	指北宋程颢、程颐和南宋硃熹的理学。参见“程硃学派”。
程硃学派	cheng'zhu'xue'pai	宋代理学的主要派别。首创者为北宋程颢、程颐，集大成者为南宋硃熹。他们提倡性理，认为理为宇宙之本原，人性为理的体现。主张为学之道在“穷天理，去人欲”，其方法为“居敬穷理”，既作“敬”的修养功夫，又穷天下万物之理以致知。因为他们的学说基本一致，后人称之为程硃学派，也称程硃理学。由于封建统治阶级的大力提倡，该学派曾长期保持思想上的统治地位。
程硃之学	cheng'zhu'zhi'xue	指宋代程颢、程颐、硃熹的理学。
澄沙汰砾	cheng'sha'tai'li	谓除去杂质，使之纯洁。
澄神离形	cheng'shen'li'xing	形容用心太专，如痴如呆。
澄思渺虑	cheng'si'miao'lv	深思远虑。
逞工衒巧	cheng'gong'xuan'qiao	炫耀工巧。
逞怪披奇	cheng'guai'pi'qi	炫耀奇异。
逞娇呈美	cheng'jiao'cheng'mei	谓花草显示出美丽的颜色。
逞娇斗媚	cheng'jiao'dou'mei	又作：争娇斗媚。形容竞相撒娇献媚的样子。
